L0,x,y,H0
0.125,1.0,1.5,0.040825844
0.125,1.0,1.625,0.16330624
0.125,1.0,1.75,0.21313858
0.125,1.0,1.875,0.4454701
0.125,1.125,0.0,0.351017
0.125,1.125,0.125,0.32420993
0.125,1.125,0.25,0.041875124
0.125,1.125,0.375,0.24923062
0.125,1.125,0.5,0.1268189
0.125,1.125,0.625,0.19233346
0.125,1.125,0.75,0.25686526
0.125,1.125,0.875,0.15475869
0.125,1.125,1.0,0.1640706
0.125,1.125,1.125,0.11270213
0.125,1.125,1.25,0.19518638
0.125,1.125,1.375,0.20177817
0.125,1.125,1.5,0.13456821
0.125,1.125,1.625,0.07795286
0.125,1.125,1.75,0.13783216
0.125,1.125,1.875,0.52394843
0.125,1.25,0.0,0.45376158
0.125,1.25,0.125,0.28200507
0.125,1.25,0.25,0.076828
0.125,1.25,0.375,0.14111257
0.125,1.25,0.5,0.19090748
0.125,1.25,0.625,0.2938609
0.125,1.25,0.75,0.33256626
0.125,1.25,0.875,0.091763735
0.125,1.25,1.0,0.14879751
0.125,1.25,1.125,0.22677302
0.125,1.25,1.25,0.086282015
0.125,1.25,1.375,0.12773514
0.125,1.25,1.5,0.14055943
0.125,1.25,1.625,0.08722186
0.125,1.25,1.75,0.13490534
0.125,1.25,1.875,0.5314462
0.125,1.375,0.0,0.44062877
0.125,1.375,0.125,0.2109673
0.125,1.375,0.25,0.08878374
0.125,1.375,0.375,0.27004933
0.125,1.375,0.5,0.41808128
0.125,1.375,0.625,0.3907559
0.125,1.375,0.75,0.14173222
0.125,1.375,0.875,0.24807286
0.125,1.375,1.0,0.23537087
0.125,1.375,1.125,0.1556015
0.125,1.375,1.25,0.2478404
0.125,1.375,1.375,0.32688713
0.125,1.375,1.5,0.1423564
0.125,1.375,1.625,0.058018923
0.125,1.375,1.75,0.08195639
0.125,1.375,1.875,0.10307121
0.125,1.5,0.0,0.1469109
0.125,1.5,0.125,0.19295669
0.125,1.5,0.25,0.13868761
0.125,1.5,0.375,0.38158917
0.125,1.5,0.5,0.48388028
0.125,1.5,0.625,0.16426063
0.125,1.5,0.75,0.26583743
0.125,1.5,0.875,0.14072013
0.125,1.5,1.0,0.47105074
0.125,1.5,1.125,0.34455037
0.125,1.5,1.25,0.26821256
0.125,1.5,1.375,0.25199723
0.125,1.5,1.5,0.29998899
0.125,1.5,1.625,0.12698746
0.125,1.5,1.75,0.12020588
0.125,1.5,1.875,0.090820074
0.125,1.625,0.0,0.14799881
0.125,1.625,0.125,0.22514415
0.125,1.625,0.25,0.56899
0.125,1.625,0.375,0.81513476
0.125,1.625,0.5,0.5482998
0.125,1.625,0.625,0.14503789
0.125,1.625,0.75,0.36939383
0.125,1.625,0.875,0.3930812
0.125,1.625,1.0,0.38859153
0.125,1.625,1.125,0.28373146
0.125,1.625,1.25,0.28328323
0.125,1.625,1.375,0.21760035
0.125,1.625,1.5,0.12757945
0.125,1.625,1.625,0.18404603
0.125,1.625,1.75,0.1757195
0.125,1.625,1.875,0.082387924
0.125,1.75,0.0,0.18306565
0.125,1.75,0.125,0.26605058
0.125,1.75,0.25,0.8005028
0.125,1.75,0.375,0.9352708
0.125,1.75,0.5,0.16244316
0.125,1.75,0.625,0.27055407
0.125,1.75,0.75,0.12241316
0.125,1.75,0.875,0.3436575
0.125,1.75,1.0,0.22944045
0.125,1.75,1.125,0.33575773
0.125,1.75,1.25,0.28663063
0.125,1.75,1.375,0.18012977
0.125,1.75,1.5,0.22660041
0.125,1.75,1.625,0.2325368
0.125,1.75,1.75,0.092324495
0.125,1.75,1.875,0.041666508
0.125,1.875,0.0,0.17711568
0.125,1.875,0.125,0.13650203
0.125,1.875,0.25,0.5851109
0.125,1.875,0.375,0.78586674
0.125,1.875,0.5,0.105653286
0.125,1.875,0.625,0.3739884
0.125,1.875,0.75,0.11611509
0.125,1.875,0.875,0.27945852
0.125,1.875,1.0,0.22107077
0.125,1.875,1.125,0.3341334
0.125,1.875,1.25,0.32264733
0.125,1.875,1.375,0.10472655
0.125,1.875,1.5,0.074899435
0.125,1.875,1.625,0.059192657
0.125,1.875,1.75,0.06968427
0.125,1.875,1.875,0.05984354
0.0625,0.0,0.0,0.033701897
0.0625,0.0,0.0625,0.053280592
0.0625,0.0,0.125,0.07616305
0.0625,0.0,0.1875,0.034702778
0.0625,0.0,0.25,0.04771161
0.0625,0.0,0.3125,0.036205053
0.0625,0.0,0.375,0.06425977
0.0625,0.0,0.4375,0.047972202
0.0625,0.0,0.5,0.05015707
0.0625,0.0,0.5625,0.023468733
0.0625,0.0,0.625,0.035387516
0.0625,0.0,0.6875,0.07124829
0.0625,0.0,0.75,0.06662655
0.0625,0.0,0.8125,0.04656267
0.0625,0.0,0.875,0.03412628
0.0625,0.0,0.9375,0.035429
0.0625,0.0,1.0,0.021942616
0.0625,0.0,1.0625,0.033771038
0.0625,0.0,1.125,0.026973724
0.0625,0.0,1.1875,0.037155867
0.0625,0.0,1.25,0.17752552
0.0625,0.0,1.3125,0.17895603
0.0625,0.0,1.375,0.03238225
0.0625,0.0,1.4375,0.026826382
0.0625,0.0,1.5,0.034337997
0.0625,0.0,1.5625,0.20927286
0.0625,0.0,1.625,0.27817726
0.0625,0.0,1.6875,0.10512924
0.0625,0.0,1.75,0.20153975
0.0625,0.0,1.8125,0.19826794
0.0625,0.0,1.875,0.05757284
0.0625,0.0,1.9375,0.07259822
0.0625,0.0625,0.0,0.072133064
0.0625,0.0625,0.0625,0.041562796
0.0625,0.0625,0.125,0.035429716
0.0625,0.0625,0.1875,0.032811165
0.0625,0.0625,0.25,0.07127261
0.0625,0.0625,0.3125,0.026802063
0.0625,0.0625,0.375,0.041971922
0.0625,0.0625,0.4375,0.039946795
0.0625,0.0625,0.5,0.0473001
0.0625,0.0625,0.5625,0.026435137
0.0625,0.0625,0.625,0.016347885
0.0625,0.0625,0.6875,0.085191965
0.0625,0.0625,0.75,0.039507866
0.0625,0.0625,0.8125,0.048430443
0.0625,0.0625,0.875,0.032463074
0.0625,0.0625,0.9375,0.020159245
0.0625,0.0625,1.0,0.026099205
0.0625,0.0625,1.0625,0.032004118
0.0625,0.0625,1.125,0.4968543
0.0625,0.0625,1.1875,0.4914744
0.0625,0.0625,1.25,0.5458648
0.0625,0.0625,1.3125,0.36884618
0.0625,0.0625,1.375,0.28552365
0.0625,0.0625,1.4375,0.029110909
0.0625,0.0625,1.5,0.030407906
0.0625,0.0625,1.5625,0.13012719
0.0625,0.0625,1.625,0.2771418
0.0625,0.0625,1.6875,0.012754679
0.0625,0.0625,1.75,0.080920935
0.0625,0.0625,1.8125,0.0759573
0.0625,0.0625,1.875,0.009113789
0.0625,0.0625,1.9375,0.106165886
0.0625,0.125,0.0,0.05085826
0.0625,0.125,0.0625,0.04956007
0.0625,0.125,0.125,0.062306166
0.0625,0.125,0.1875,0.040690184
0.0625,0.125,0.25,0.07418132
0.0625,0.125,0.3125,0.07290459
0.0625,0.125,0.375,0.071148634
0.0625,0.125,0.4375,0.038770437
0.0625,0.125,0.5,0.060310364
0.0625,0.125,0.5625,0.029766798
0.0625,0.125,0.625,0.057791233
0.0625,0.125,0.6875,0.07359266
0.0625,0.125,0.75,0.082696915
0.0625,0.125,0.8125,0.073037624
0.0625,0.125,0.875,0.038562536
0.0625,0.125,0.9375,0.043924093
0.0625,0.125,1.0,0.059993744
0.0625,0.125,1.0625,0.4493301
0.0625,0.125,1.125,0.58110833
0.0625,0.125,1.1875,0.5794027
0.0625,0.125,1.25,0.11224151
0.0625,0.125,1.3125,0.13100934
0.0625,0.125,1.375,0.38316798
0.0625,0.125,1.4375,0.26013184
0.0625,0.125,1.5,0.09908342
0.0625,0.125,1.5625,0.18494606
0.0625,0.125,1.625,0.22817945
0.0625,0.125,1.6875,0.03429675
0.0625,0.125,1.75,0.038801193
0.0625,0.125,1.8125,0.07773185
0.0625,0.125,1.875,0.04138136
0.0625,0.125,1.9375,0.09510231
0.0625,0.1875,0.0,0.034744978
0.0625,0.1875,0.0625,0.0443182
0.0625,0.1875,0.125,0.03511095
0.0625,0.1875,0.1875,0.04800582
0.0625,0.1875,0.25,0.0465672
0.0625,0.1875,0.3125,0.05242586
0.0625,0.1875,0.375,0.062262774
0.0625,0.1875,0.4375,0.025704145
0.0625,0.1875,0.5,0.057982206
0.0625,0.1875,0.5625,0.09365487
0.0625,0.1875,0.625,0.061169147
0.0625,0.1875,0.6875,0.027336597
0.0625,0.1875,0.75,0.060495615
